ID,Reference,Hypothesis,Reconstructed
test/E22icGCvGXk/00001,they're completely flat and they're basically cardboard characters,they're completely flat like they're basically cardboard characters,Their completely flat like their basically cardboard characters
test/tzJYY2p0QIc/00001,growing up i was always intrigued by how people change,growth up i was always intrigued by how people are,Growth A pye was always intrigued by how people are
test/3uSQlcGCHUU/00017,we had the battle between jefferson and hamilton,we had the battle between jefferson and hamilton,We had the battle between Jefferson and Hamilton
test/ZnCSUBmeRxw/00004,but just imagine for a moment what this must feel like,but just imagine for a moment what this must feel like,But just imagine for a moment what this must feel like
test/UAq4yBdSYZs/00001,so after 25 years i began to feel as though i was running dry,so after 25 years of being in the field so i was ready to try,So after 25 years of being in the field so I was ready to try
test/ZJNESMhIxQ0/00035,and at the other end of the spectrum we're doing an equally terrible job,and at the top of the end of the spectrum we're doing an equally terrible job,and at the top of the end of the spectrum we're doing an equally terrible job
test/UAj1hsXp18c/00013,i see now i never was one and not the other,i see now i never was one and not the other,I see now I never was one and not the other
test/ddxHlkIuHqg/00002,but too often my treatments made them feel worse,but too often my treatments made them feel worse,But to often my treatments made them feel worse
test/1PNX6MSdVsk/00005,more trust is not an intelligent aim in this life,morality is not essential but it's kind of,Merality is not essential but its kind of
test/UAj1hsXp18c/00022,one woman no longer believes love will ever find her,when a woman no longer believes love will ever find her,When a woman no longer believes love will ever find her
test/bArH8r8jJ4g/00001,it turns out the evidence says otherwise,it turns out the evidence says otherwise,It turns out the evidence says otherwise
test/SS8TSf2srSw/00002,seventy five percent of them are women and children,75 of them are women and children,75 of them are women and children
test/gVfgkFaswn4/00002,so the answer to the second question can we change,and so the answer to the second question can we change,And so the answer to the second question can we change
test/VxESitIllxE/00004,as an inventor i try and turn fantasy into reality,as an invention i tried to look at fantasy as a reality,As an invention a try to look at fantasy as a reality
test/vXPJVwwEmiM/00005,nor do i think we are by ourselves actually going to solve the problem,norway think we are among ourselves actually to solve the problem,Norway Think Quiet Among ourselves actually to solve the problem
test/H14bBuluwB8/00001,my research team and i went to west point military academy,my research team and i went to the west point military academy,My re search team and I went to the West Point Military Academy
test/Li4S1yyrsTI/00010,we were making what was invisible visible,we were making what was invisible visible,We were making what was invisible visible
test/Sa27SUR0Mlo/00004,with that you can actually trigger aid funding before a crisis can happen,with that you can actually trick your hand functioning before a crisis can happen,With that you can actually trick your hand functioning before a crisis can happen
test/IS4IK8CiLg8/00002,she contacted anyone and everyone who was willing to buy my work,so contacted anyone and everyone who was willing to buy my book,so contacted anyone and everyone who was willing to buy my book
test/psN1DORYYV0/00020,he asked what do women need to do to conform to female norms,he asked why older women need to do new forms of female norms,He asked why older women need to do new forms of female nuns
test/jbHpF7EySck/00002,and they say i want to work in global poverty but what will it mean about my career,and they say how would we eliminate poverty but what will it mean about my career,And they say how would we eliminate poverty but what will it mean about my career
test/dS8n24ZwZcQ/00002,but the magnitude of the problem is something we need to appreciate,but the magnitude of the problem is something we need to appreciate,But the magnitude of the problem is something we need to appreciate
test/Sa27SUR0Mlo/00002,it's a coming of age for bringing data into the humanitarian world,it's a coming of age for bringing data into the humanitarian world,It's a coming of age for bringing data into the humanitarian world
test/nCg2NcGYu34/00011,who is going to inherit his name and his fortune,who was going to inherit the same kind of water,Who was going to inherit the same kind of water
test/OM6XIICmSqo/00002,whatever it is about that person where they were born things like that,way of reading about the books while they report things like that,Way of reading about the books while they reporte things like that
test/UmvOgW6iV2s/00004,any spoken language that's used by real people has them,a spoken language is used by real people as them,A spoken language is used by real people as them
test/Sv5QitqbxJw/00003,they're too busy putting out daily fires to think ahead strategically,there's some compelling evidence to the contrary,There's some compelling evidence to the contrary
test/eNAHVnkll5M/00005,it was a remarkable privilege and an amazing education,it was a remarkable privilege and an amazing education,It was a remarkable privilege and an amazing education
test/fZ8eyWBQmfU/00001,now my own speciality is combining digital technology and magic,now we use machines to bring digital technology and medicine,Now we use machines to bring digital technology and medicine
test/OwgWkUIm9Gc/00009,they dreamed up a variety of horrifying scenarios,then dreamed up a variety of horrifying scenarios,Then dreamed up a variety of horrifying scenarios
test/7kkRkhAXZGg/00003,now in all seriousness movies are actually really important,now in all seriousness movies are actually really important,Now in all seriousness no movies are actually really important
test/7OMLSs8t1ng/00010,you take them away disease comes back horrible diseases,sent them away disease comes back horrible disease,Send Them Away Disease Comes Back Horrible Disease
test/jcp5vvxtEaU/00009,even if we get everybody working on it we've got to be strategic,even if we kill everybody why not we've got some insurance,Even if we kill everybody why not get some insurance
test/F3OhcpKSUBc/00006,and now we want to do a double double of the age wave coming through,and now we want to do it same old people have the age way of coming through,And now we want to do it Say old people have the age way of coming through
test/UMhLBPPtlrY/00004,what if obesity isn't the cause of insulin resistance at all,what if obesity is the cause of insulin resistance in all,What if obesity is the cause of insulin resistance in all
test/j7fRIGphgtk/00002,our city couldn't possibly handle any more cars,our city couldn't possibly end any more cars,Our city couldn't possibly end any more cars
test/nCg2NcGYu34/00001,why are we supposed to have a connection with every single painting,why don't we speak to have a connection with every single person,Why don't we speak to have a connection with every single person
test/Li4S1yyrsTI/00021,we met men where they were at and we built a program,we met men where they were at and we built a program,We met men where they were at and we built up a program
test/mgcjr1yz7ow/00008,these guys could be true to their purpose which was finding oil and gas,this has to be because her purpose was to find her killer,This has to be because her purpose was to find her killer
test/27lMmdmySb8/00008,and they definitely have been shown to be effective in some cases,and they definitely have to be shown to be effective in some cases,and they definitely have to be shown to be effective in some cases
test/LEx6K4P4GJc/00001,i know platforms i know computers they put me on the internet when i was young,i knew platforms like youtube then put me on air when i was young,I knew platforms like YouTube then put me on air when I was young
test/RiM5aSvaNkg/00003,but if you won't move we'll have no choice but to run you down,but if you won't move we have no choice but to run you down,But if you won't move we have no choice but to run you down
test/gVfgkFaswn4/00001,this is a crisis that's getting worse day by day,this is a crisis that's getting worse day by day,This is a crisis that's getting worse day by day
test/YyXRYgjQXX0/00010,whereas giving and taking are more of your inner motives what are your values,we as citizens take care of our inner motives what are our values,We as citizens take care of our inner motives what are our values
test/PSlBlZ3hqKc/00012,we can create a global parliament of mayors,we can create a global parliament of mayors,We can create a global Parliament of Mayors
test/dYNc3P4jSt4/00004,she never had to duck and cover under her desk at school,she never has a sunny cover on her desk in school,She never has a sonny cover on her desk in school
test/PSlBlZ3hqKc/00006,the supreme court has fallen way down from what it used to be,some of the work has fallen away from what used to be,Some of the work has fallen away from what you used to be
test/WT7VMrxTPPA/00003,i mean i thought poetry was just self expression,i thought poetry was just self indulgence,I thought poetry was just self indulgence
test/S2Dj9M71JAc/00007,the question for us now is how much can we make of it,the question for us now is how much can we make of it,The question for us now is how much can we make of it
test/1PNX6MSdVsk/00009,we can do it two people together trying to improve trust,with two people sitting trying to improve trust,With two people sitting trying to improve trust
test/TDaFwnOiKVE/00004,it's super real and it's happening around you,it's a tumor you feel and it's happening around you,It's a tumor you feel and it's happening around you
test/nASJ0510Pxs/00002,so they don't have to rely on people that are getting scarcer to help them,so they don't have to rely on people looking at signs and helping them,So they don't have to rely on people looking at signs and helping them
test/Sktdq5z1NS4/00001,and someone who has that kind of artistic potential deserves so much more,if someone creates that kind of artistic potential there's so much more,If someone creates that kind of artistic potential there's so much more
test/PSlBlZ3hqKc/00007,they were arguing with one another about access to the holy sites,they were arguing with one another about access to the holy site,They were arguing with one another about access to the Holy Site
test/x95nwilkaio/00001,but i grew up in canada far from my arab roots,but i grew up in canada far from my arab roots,But I grew up in Canada far from my Arab roots
test/UAj1hsXp18c/00014,sickness health tender violence,silence health and nature violence,Silence health and nature violence
test/JFQLvbVJVMg/00003,so what's women's experience as it relates to mentoring,so what's women's experience as it relates to mentoring,So what's women's experience as it relates to men torturing
test/xTkKSJSqUSI/00008,this is a bit of a difficult image to put up on the screen,this is a bit of a difficult proposition put on the screen,This is a bit of a difficult proposition put on the screen
test/shG0ezBeeJc/00002,sometimes it's messy and it's always unpredictable,sometimes it's messy and it's always unpredictable,Sometimes its messy and it's always unpredictable
test/ZJNESMhIxQ0/00012,it worked for the oakland a's and it worked in the state of new jersey,it worked for the olympic games and it worked in the state of new jersey,It worked for the Olympic Games and it worked in the State of New Jersey
test/PbgB2TaYhio/00004,but now check out where they go on our tree of life,but now they get out where they go on country life,But now they get out where they go on country life
test/qWNae7vYK6s/00002,and when she went to complain to a major he said what,i wish it was complete to a measure and he said one,I wish it was complete to a measure and he said one
test/XESFPEFpHt4/00010,i was looking for this thing that only fools seem to look for,i was looking for this thing that only food seems to look for,I was looking for this thing that only food seems to look for
test/PrK0CifulU0/00003,now hamilton was everything madison was not,now hamilton was everything medicine was not,Now Hamilton was everything medicine was not
test/UZmXwOgNq7c/00001,only one percent of the people are actually farmers,on the public stage over people like this,On the public stage over people like this
test/SFnMTHhKdkw/00004,i have looked at the best and i've looked at some of the worst,i have looked at some men and i've looked at some women,I have looked at some men and I've looked at some women
test/npNYP2vzaPo/00004,we push and pull and poke and prod things,we push and pull and build and break things,We push and pull and build and break things
test/FFG2rilqT2g/00004,the gas that they used at first in many cases was oxygen,the gas that they use in first in many cases with oxygen,The gas that they use in first in many cases with oxygen
test/LiUClSItcy0/00001,texting has a 100 percent open rate,testing has a 100 open rate,Testing has a 100 open rate
test/95ovIJ3dsNk/00009,well imagine you're walking in the forest and you see a bear,will imagine you walking on the forest and you see a bear,will imagine you walking on the forest and you see a bear
test/Jm2dWbNsnZI/00002,but quite frankly on this issue there is no other road,but quite frankly on this issue there is no other road,But quite frankly on this issue there is no other road
test/9RMx31GnNXY/00004,and when i was 10 i didn't realize how amazing it was,and when i was nine i realized how blessed i was,And when I was nine I realized how blest I was
test/SE97Kgi0sR4/00005,of course we're going to go even deeper than the human body,of course we're going to go even deeper than the human being,Of course we're going to go even deeper than the human being
test/uzKBGtf0i0M/00004,without it we literally can't interface with others,without them we still really are to interface with others,Without them we still rely are too interface with others
test/lmyZMtPVodo/00001,that is some deep deep emotion when you would want to do that,that is some deep emotion when you want to do that,That is some deep emotion when you want to do that
test/GMynksvCcUI/00008,why not ask all of the states to do that instead,why not ask all of us to do that instead,Why not ask all evangelists to do that instead
test/TVtgb153S6I/00002,this is not a photo profile for your facebook,this is not a photo profile facebook,This is not a photo profile face book
test/66koScWSHBU/00001,and the problem that we're solving is what are those things,and the problem that we're solving is what are those things,And the problem that we're solving is what are those things
test/VAJS5J21Rd0/00009,so i changed my immediate goal to 10000 faces,so i changed my immediate goal to 10000 feet,So I changed my immediate goal to 10000 feet
test/95ovIJ3dsNk/00002,for hepatitis it was also two and a half times,epiphanies it was also two and a half times,Epifanes It was also to and a half times
test/ClfBxWPkBKU/00003,and remember we had experience with this,and i remember we had experience with this,And I remember we had experience with this
test/Ok6LbV6bqaE/00005,but it's useful for everybody to learn how to read and write,but it's good for everybody to look at the risk,But it's good for everybody to look at the risk
test/fIICVeGW4RY/00001,you are a healer in a stone age village,you are here in a so large village,You are here in a Solar Village
test/Us70DN2XSfM/00003,you can't hide behind anything other than your own teeth,you can't hide behind anything other than your own skin,You can't hide behind anything other than your own skin
test/cHRZ6OrSvvI/00001,three billion people today with cell phones can't access the internet,you are many people to help yourselves and each other,You are many people to help yourselves and each other
test/6wNif5SlN08/00010,after college i desperately needed to find a place to call home,after erikson's work he defined a place to call home,After Erickson's work he defined a play to call home
test/8nt3edWLgIg/00004,we have problems that we desperately need to solve,i mean we have problems that we desperately need to solve,I mean we have problems that we desperately need to solve
test/0gks6ceq4eQ/00005,predictions are the basis of every experience that you have,predictions are the basis of every experience that you have,Predications are the basis of every experience that you have
test/2UStOghblfE/00005,and the daughter was exhausted from caring for her mother,and the daughter was exhausted from caring for her mother,And the daughter was excluded from caring for her mother
test/rBKV4rOgSJU/00008,and i didn't expect that because i expected one of these,they didn't expect them because they expected one thing,They didn't expect them because they expected nothing
test/ROgFmb3oTLo/00004,it means for youth and it's a new arab tv channel,it means four youth and it's a new arab tv channel,It means for youth and it's a new Arab TV channel
test/uzKBGtf0i0M/00007,my desire to disappear was still very powerful,my design team was still very powerful,My design team was still very powerful
test/SSzRfSJTNW4/00006,indeed we run the risk of making things worse,indeed we want the risk of making things worse,Indeed we want the risk of making things worse
test/LiUClSItcy0/00007,that last one's an actual text message that we received,that last one is an actual text message that we received,That last one is an actual text message that we received
test/GAMR5RDSLJo/00020,we've seen an image of our blue planet our world bank,we've seen an image of our blueprint our world bank,We've seen an image of our blueprint Our world bank
test/SaouBn7IKIo/00001,we've been working together since well since we were kids really,we've been working together since or since we were kids really,We've been working together since or since we work kids really
test/7gkdzkVbuVA/00001,originally the sample was aged 18 to 94,retirement came in 1994,Retirement came in 1994
test/95ovIJ3dsNk/00003,for depression it was four and a half times,for the pleasure it was few and half times,For the pleasure it was few and half times
test/OwgWkUIm9Gc/00008,no one on land had any idea that anything had gone wrong,no one had any inkling that anything had gone wrong,No one had any inclining that anything had gone wrong
test/ZJNESMhIxQ0/00003,i ran the camden police department because of that,i ran the cambridge police department because of that,I ran the Cambridge Police Department because of that
test/1L6lSFiV4xo/00002,you just have to find another term and look that up,but you just have to find another term and look that up,But you just have to find another term and look that up
test/YyXRYgjQXX0/00008,agreeable people are warm and friendly they're nice they're polite,a group of people are warm and finally get a third night to sleep,A group of people are warm and finally get a third night to sleep
test/Mt0PiXLvYlU/00003,go i said again sweat forming on my brow,go ahead tweet for me and my brown,Go ahead tweet for me and my brown
test/n3kNlFMXslo/00013,we don't even need that much time to do amazing things,we're not even thinking that much time to do amazing things,We're not even thinking that much time to do amazing things
test/8vNIrPeRGlM/00009,they want to know how often your dog gets outside,they want to know how hot this star gets out to,They Want to Know How Hot This Star Gets Out Too
test/FKxaL8Iau8Q/00007,and if it's completely okay what's the joke,and if you're completely honest,And if you fail completely honest
test/9RMx31GnNXY/00003,i know i was one of the first 10 people to have this surgery,i know i was one of the first to say people have children,I know I was one of the first to say people have children
test/ZJNESMhIxQ0/00021,and 67 percent of people come back,and 67 of people come back,And 67 of people come back
test/4n8qT0vQbWk/00003,we have to decide what it means,we have to decide what it means,We have to decide what it means
test/P2AUat93a8Q/00002,would you like to create a second one together,would you like to create a second one together,Would you like to create a second one together
test/VfAiNX7jn9A/00010,the silent majority does not need to be silent,the silent majority does not need to be silent,The silent majority does not need to be silent
test/cHRZ6OrSvvI/00002,don't create solutions to impress customers,to create tools to embrace customers,To create tools to embrace customers
test/eZj5n8ScTkI/00003,and this wasn't just an abstract question,and this wasn't just an abstract issue,And this was unjust an abstract issue
test/1bnzVjOJ6NM/00005,mortality is not going down it's going up,mortality is not going down it's going up,Mortality is not going down it's going up
test/OzA6jRYjVQs/00003,this is not a statement on malnutrition or anything else,this is not a statement on methotrexation or anything else,This is not a statement on methodological or anything else
test/BQZKs75RMqM/00001,it's almost becoming the syntax of a new language,she was becoming a distinct text of a new language,She was becoming a distinct text of a new language
test/xTkKSJSqUSI/00015,it comes out of a place called the gallup organization,it comes out of a place called the galapagos,It comes out of a place called the Galapagos
test/4n8qT0vQbWk/00001,but this is what i heard from a lot of outraged people,but this is what i learned from a lot of outraged people,But this is what I learned from a lot of outraged people
test/jcp5vvxtEaU/00012,sustainability has got to be a pre competitive issue,sustainability is got to be a pretty compelling issue,Sustainability is got to be a pretty compelling issue
test/eNAHVnkll5M/00002,i wanted to get to know them as individuals,i wanted to get to know them as individuals,I wanted to get to know them as individuals
test/TScetimMBL8/00002,i realize of course that all countries are unique,i realized of course that all countries are unique,I realised of course that all countries are unique
test/fxbCHn6gE3U/00003,then she gets their bosses to rate how creative and innovative they are,the chickens are bosses to write how great and innovative they are,The Chickens are bosses They write how great and innovative they are
test/tbSWdVA4Sbo/00001,we might say then well let's not worry about this,think about this one last story about this,Think about this one last story about this
test/Hj9oB4zpHww/00003,that is what it is to have a domain of expertise,that is what it is to have a degree of expertise,That is what it is to have a degree of expertise
test/0Fi83BHQsMA/00005,when i get out of this am i going to be rejected,when i get out of this i am going to be rejected,When I get out of this I am going to be rejected
test/NL0uxDscjdo/00001,and so they took them to some safe place,and so they took them to some set of plants,And so they took them to some set of plants
test/jPf0LjZAS14/00001,is it about earning as much as you possibly can,it's about earning as much as you possibly can,It's about turning as much as you possibly can
test/uL5XUwfkxZw/00015,i may never go to your house you may never come to my house,i'm never going to your instrument never comes around,I'm never going to your instrument never comes around
test/3OgsRa7VDtI/00001,they can't get what they need when they need it,they can get what they need when they need it,They can get what they need when they need it
test/HI7zfpitZpo/00002,who or what inspires you and why,who or what inspires you and why,who or what inspires you and why
test/BHY0FxzoKZE/00003,maybe i did an experiment on myself without even knowing it,maybe i just experimented on myself without even knowing it,May be I just experienced on myself without even knowing it
test/FxtSMZKMdes/00007,i enjoy fashion magazines and pretty things,during fashion magazines and beauty things,During fashion magazines and beauty things
test/BImnT7lcLDE/00003,how do you get to build those relationships,how do you get to build those relationships,How do you get to build those relationship ships
test/ClfBxWPkBKU/00008,that is not simply critical to our economy,that is not simply critical to our economy,That is not simply critical to our economy
test/qafSjNLjedo/00001,and we've all heard that kind of story before right,and we've all heard that kind of story before right,And we've all heard that kind of story before right
test/mgcjr1yz7ow/00015,it's very hard to make them part of our rational decision,it's very hard to make the point of a rational decision,It's very hard to make the point of a rational decision
test/AegIbt2j0sU/00001,and they also knew that they can tap into a workforce,and they also know that they can tap into a workforce,And they also know that they cannot apprentice into a workforce
test/iqEHuBST2qQ/00001,and then i thought there's got to be a better way,then i thought there's got to be a better way,Then I thought there's got to be a better way
test/YzGjO5aHShQ/00012,what we want what we aspire to is the code,we want when we get spied on is code,We Want When We Get Spiderman's Code
test/BImnT7lcLDE/00004,so we created a new school,so we created a new tool,So we created a new tool
test/XESFPEFpHt4/00003,was the internet actually a place that you could visit,was actually a place that you could visit,was actually a place that you could visit
test/8Z24LCysq3A/00001,one thousand eight hundred and thirty six people died,1008 people died,Ten O eight people died
test/4AYE3w5TWHs/00004,and then at 11 o'clock they stopped talking about these little issues,they had never heard they stopped talking about these little issues,They had never heard they stopped talking about these little issues
test/NYKcOFQCeno/00003,and that leads to a very powerful tool,that leads to a very powerful tool,That leads to a very powerful tool
test/0VJqrlH9cdI/00002,he was smiling and we said go,he was smiling and i would say no,He was smiling and I would say no
test/n3kNlFMXslo/00002,that's like finding an extra hour in the day,let's take finding an extra hour in the day,Let's take finding an extra hour in the day
test/TRajLqEaWhQ/00002,that means at some point it's going to be your problem too,that means at some point it's going to be your problem too,That means at some point it's going to be your problem too
test/NL0uxDscjdo/00005,i understand how this could happen,i understand how this came,I understand how this came
test/k2hQL9Zrokk/00002,i believe a story there has to be told,i believe it's a story there has to be told,I believe it's a story there has to be told
test/V4sSabKqyMU/00005,it's about proving who you are and what you can do,it's about proving who you are and what you can do,It's About Proving Who You Are and What You Can Do
test/akiQuyhXR8o/00010,we must adopt that way of giving back,we must adopt that way of giving back,We must adopt that way of giving back
test/yNhu0MGS2MA/00001,why not just let businesses compete,why not just let businesses compete,Why not just let businesses compete
test/vhVWzkbAW4I/00004,she found us we found her disease,she found us we found her disease,She found us we found her disease
test/8UhqkX2VAmo/00001,otherwise millions more will die,other wise millions more will die,Otherwise millions more will die
test/WT7VMrxTPPA/00004,i didn't know you actually have to have creative control,i didn't know you actually had to have creative control,I didn't know you actually had to have creative control
test/Li4S1yyrsTI/00007,and i have to tell you i'm passionate about data,and i have to tell you i'm passionate about data,And I have to tell you I passionate about data
test/vhVWzkbAW4I/00005,but for too many women that's not the case,but for two many women that's not the case,But for too many women that's not the case
test/xTkKSJSqUSI/00023,but you'll notice we're not at the top of the mountain yet,but you know is we're not at the top of the mountain yet,But you know Iswear not at the top of the mountain yet
test/ni4FV5zL6lM/00003,but those surveillance features come at a cost,but those survival features come at a cost,But those survival features come at a cost
test/EGjxIS5MPUY/00001,it's always what it was and what it can be,it's always what it was and what it can be,It's Always What It Was and What It Can Be
test/55yGmKc6WfE/00001,they're looking and looking and finding love,they're looking and looking and finding love,Their looking and looking and finding love
test/sxnlvwprfSc/00002,i'm a physician practicing with cutting edge technology,i'm a physician practitioner with cutting edge technology,Imafidon Practitioner with Cutting Edge Technology
test/eZj5n8ScTkI/00001,i couldn't tear myself away from the coverage,i can tear myself away from the coverage,I cannot erase myself away from the coverage
test/FFG2rilqT2g/00005,so they added oxygen to methane gas,it had an option to do methane gas,It had an option to do methane gas
test/GGScU5ESei4/00004,what's different is how the molecules are put together,what's different is how molecules are put together,What's different is how molecules are put together
test/wG4RnDNWtJo/00001,that was a huge problem at the haiti earthquake,that was a huge problem in the 80s,That was a huge problem in the 80s
test/eNAHVnkll5M/00003,i wanted to understand who takes the job,i want us to understand who gets the job,I want us to understand who gets the job
test/FD6CqD1kV8s/00003,there were others like myself who were full time,there were others like myself who were full time,There were others like myself who were full time
test/GSf6nijSSdA/00004,patriarchy is not boys and men,patrick is not boy's name,Patrick is not Boy's name
test/HUM2rCIUdeI/00004,it's not a lot of money at the global level,it's not a lot of money at the global level,It's not a lot of money at the global level
test/SSzRfSJTNW4/00007,imagine juggling a snowball across the tropics,about suddenly a few more across the top,About suddenly a fume or a cross the topp
test/psN1DORYYV0/00016,i guess i'm doing it right now,and i guess i'm doing it right now,And I guess I'm doing it right now
test/3uSQlcGCHUU/00011,but that is not the case at all,but that is not the case at all,But that is not the case at all
test/tiSiSM3pk5M/00005,it's letting stuff happen without thinking about it,it's a lake of stuff happens without thinking about it,It's a lake of stuff happens without thinking about it
test/iPE2SiCCo0w/00007,so water was something that scared me to begin with,so working with something that's similar to begin with,So working with something that's similar to begin with
test/7ZymFMmpOa0/00011,and the great thing is that you can take anyone along with you,and the great thing is that you can take anyone along with you,And the great thing is that you can take anyone along with you
test/LiUClSItcy0/00008,i will not forget the day we got that text message,i will not forget the day we got that text message,I will not forget the day we got that text message
test/SE97Kgi0sR4/00006,we're going down to the cellular level these days,we're going down to the cellar level of these days,We're going down to the cellar level of these days
test/Li4S1yyrsTI/00015,but we were still missing a critical element,but we were still missing on critical element,But we were still missing on critical element
test/YyXRYgjQXX0/00013,they'll say i'm surrounded by a bunch of snakes and sharks,the team surrounded me with stacks of charts,The team surrounded me with stacks of charts
test/XESFPEFpHt4/00011,you can experience their sense of place,you can experience in their sense of place,You can experience in their sense of place
test/JSSc7hYKstI/00005,especially when it comes to climate change,especially when it comes to climate change,Especially when it comes to climate change
test/kEKzl6fub2w/00001,which incidentally is only a third correct,which is only third correct i mean,which is only third correct I mean
test/xTkKSJSqUSI/00025,in fact south africa has not gone down that road,in fact south africa has not gone down that road,In fact South Africa has not gone down that road
test/ROgFmb3oTLo/00005,but it's not about fire and brimstone either,but it's not about fire and brimstone either,But it's not about fire and brimstone either
test/RaSlxoAUP5c/00001,i sat there on the river for two months without seeing one,i sat there for two months when you start writing,I sat there four two months when you start writing
test/psN1DORYYV0/00002,at what point did i think that was a good idea,at what point did i think that was a good idea,at what point did I think that was a good idea
test/Sa27SUR0Mlo/00012,and that's a big deal for a profession that's in high demand,and that's a big deal for a profession that's in high demand,And that's a big deal for a profession that's in hiding
test/UAj1hsXp18c/00030,harvest contaminated tobacco,offered contaminated water,Offered contaminated water
test/jcp5vvxtEaU/00002,we paid two to three times more than anybody else,we made it two or three times more than anything else,We Made It to Or 3 Times More Than Anything Else
test/8vNIrPeRGlM/00010,they want to know how much exercise your dog is getting,they want to know how much exercise your dog is getting,They want to know how much exercise your dog is getting
test/7gkdzkVbuVA/00005,we take less notice of trivial matters,we take less notice of irrelevant matters,We take less notice of irrelevant matters
test/WFCvkkDSfIU/00003,and this idea is actually nothing new,and this guy said that nothing new,And this guy said that nothing new
test/o1Z4F4e2Bw4/00004,but this particular reality was not inevitable,but this particular reality was i never,But this particular reality was I never
test/UAj1hsXp18c/00003,i will not be played,i will not be blind,I will not be blind
test/8iSpNVj5KMw/00002,i forgive you and i do not hate you,i forgive you and i do not hate you,I forgive you and I do not hate you
test/6kHSuYwt0qs/00002,we don't use audio we don't use video,we go to slaughter we go to slaughter,Wego to Slaughter Wego to Slaughter
test/1bnzVjOJ6NM/00006,and not enough is being done about this,not enough is being done about this,Not enough is being done about this
test/RiM5aSvaNkg/00001,i went to extreme lengths to try to be straight,i went to extreme lengths to try to be straight,I went to extreme lengths to try to be straight
test/81Ub0SMxZQo/00002,how would i know what i was doing differently,how would i know what i was doing differently,How would I know what I was doing differently
test/OIlSXRCSBSI/00002,the first lesson is about humility,the first lesson is about a human need,The first lesson is about a human need
test/t2gbcVaZ448/00004,what if i had told her my story years ago,what if i had told her my story years ago,What if I had told her my story years ago
test/GSf6nijSSdA/00011,so i'm going to say awesome stuff about myself,so i'm going to say awesome stuff about myself,So I'm going to say it's about myself
test/9YekkGz1E2k/00002,this fishing village was famous for sculpture,this fishing village was a famous fishing dock,This fishing village was a famous fishing dock
test/DCIL2nvU4x8/00001,and when we do the results will often surprise,and when we took a closer look at the suppliers,And when we took a closer look at the suppliers
test/FcmSmAwPkxg/00010,she suffered so much,she suffered so much,She Suffered So Much
test/AsSd2nmoKNA/00002,and i said to myself i wanna get me one of them,and i said to myself how can i be one of them,And I said to myself How can I be one of them
test/GvGAIGbnX7E/00004,and in that i need a surgery lexicon,and in that i can choose to realize it,And in that I can choose to realise it
test/rFpDK2KhAgw/00007,strangers might ask each other for a sip of water,strangers might ask each other for a sip of water,Strangers My Task Each other for a sippet of water
test/KuWXfjyGhk0/00007,of course migration will become even more important,of course migration will become even more important,Of course my migration will become even more important
test/o1Z4F4e2Bw4/00003,but we only get one history and it's the one that we have,but we only get one interested as the one that we have,But we only get one interested as the one that we have
test/o1Z4F4e2Bw4/00002,that's the magic of the geological record,that's the magic of the geological record,That's the magic of the geological record
test/0gks6ceq4eQ/00006,they are the basis of every action that you take,think on the basis of every action that you take,Think on the basis of every action that you take
test/3uSQlcGCHUU/00016,they don't represent what our views are,they don't represent what our views are,They don't represent what our views are
test/xFSCX9mAHPo/00003,if we're still hungry we might have some more,if we're still hungry we might have some more,If we're still hungry we might have some more
test/1bnzVjOJ6NM/00020,and we'd like to think it's not going to take 35 years,in which i did this study in 35 years,In which I did this study in 35 years
test/FxtSMZKMdes/00004,i'm a feminist but i'm a rather bad one,i'm a feminist by the name of audre lorde,I am a feminist by the name of Audre Lorde
test/mgcjr1yz7ow/00016,we all know deep inside what the answer is,we all know the placebo effect,We all know the plus or minus effect
test/UAj1hsXp18c/00011,i live cycles of light and darkness,and there was a lot of talk and darkness,And there was a lot of talk and darkness
test/mgcjr1yz7ow/00013,we need to be part of a community to survive,we need to be part of a community to survive,We need to be part of a community to survive
test/VxESitIllxE/00001,and then we were alarmed to discover something,and then we were alarmed to discover something,And then we were alarmed to discover something
test/RAR4cz9wkUk/00002,i would just give the inspiration and that's my job,i was just giving inspiration to my job,I was just giving inspiration to my job
test/EV3OmxrowWE/00003,and when we're unprepared we overreact,and we were unprepared we don't forget,And we were unprepared we don't forget
test/UK8ccWSZkic/00001,of those seven have nuclear weapons,if those seven have nuclear weapons,If those seven have nuclear weapons
test/w1R4F9sSoow/00005,i do believe we can fix what's broken,i do believe we can fix what's broken,I do believe we can fix what's broken
test/1PNX6MSdVsk/00010,because it's given by other people,we are discovered by other people,We are discovered by other people
test/NL0uxDscjdo/00004,and in fact what did happen to my brain,and in fact once it happened to my brain,And in fact once it happened to my brain
test/UmvOgW6iV2s/00001,casual speech is something quite different,cultural speech is something quite different,Cultural speech is something quite different
test/4ErEBkjS3PY/00001,i'm a professor and we're passionate about education,i'm a professor and we're passionate about education,I'ma professor and we're passionate about education
test/3uSQlcGCHUU/00006,but that system has tons of problems,but that's not too much science of problem,But that's not too much science of problem
test/Li4S1yyrsTI/00014,we were obviously making a difference,we were obviously making a difference,We were obviously making a difference
test/O6Vayv9FCLM/00001,that option is actually not on the table,options actually get on the table,Options actually get on the table
test/uJr4wGcLNsA/00009,constance baker motley,got sick peter malley,Gottschalk Peter Malli
